Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,52.240002,52.860001,52.020000,52.369999,52.062302,3361900
2018-11-27,52.240002,52.709999,51.720001,51.970001,51.664654,4152200
2018-11-28,51.810001,52.650002,51.279999,52.529999,52.221359,3919400
2018-11-29,53.169998,54.209999,52.880001,53.700001,53.384487,4411100
2018-11-30,53.099998,53.540001,52.230000,52.900002,52.589188,5742400
2018-12-03,54.889999,55.540001,54.230000,55.470001,55.144089,4908200
2018-12-04,55.389999,55.820000,52.730000,52.980000,52.668716,4338300
2018-12-06,51.090000,51.770000,50.259998,51.590000,51.286884,5082000
2018-12-07,53.419998,54.700001,51.950001,52.060001,51.754124,5298100
2018-12-10,51.400002,51.720001,49.320000,51.060001,50.759998,5019600
2018-12-11,51.820000,52.900002,51.349998,51.639999,51.639999,6957000
2018-12-12,52.480000,53.880001,52.480000,52.560001,52.560001,5919300
2018-12-13,52.419998,53.180000,51.959999,52.490002,52.490002,6736300
2018-12-14,51.950001,52.560001,50.660000,50.950001,50.950001,3950100
2018-12-17,50.660000,51.279999,49.230000,49.580002,49.580002,4669300
2018-12-18,49.549999,49.689999,47.049999,47.130001,47.130001,6081300
2018-12-19,47.599998,48.590000,46.490002,46.790001,46.790001,6775800
2018-12-20,46.029999,46.340000,43.930000,44.150002,44.150002,9896400
2018-12-21,43.810001,44.500000,42.810001,42.950001,42.950001,9635500
2018-12-24,42.330002,42.500000,40.560001,40.570000,40.570000,3429500
2018-12-26,41.009998,43.880001,40.400002,43.849998,43.849998,5274800
2018-12-27,43.029999,43.970001,42.020000,43.970001,43.970001,4752500
2018-12-28,44.180000,44.349998,42.939999,43.200001,43.200001,3964700
2018-12-31,43.490002,44.130001,43.090000,43.840000,43.840000,3629000
2019-01-02,42.900002,44.900002,42.250000,44.689999,44.689999,5508800
2019-01-03,44.849998,45.500000,43.619999,44.459999,44.459999,4340100
2019-01-04,45.529999,46.660000,45.259998,46.259998,46.259998,5749000
2019-01-07,46.720001,47.630001,46.099998,46.990002,46.990002,4732100
2019-01-08,47.830002,48.270000,46.900002,47.340000,47.340000,4681300
2019-01-09,47.830002,48.820000,47.349998,47.910000,47.910000,4867700
2019-01-10,47.349998,48.450001,47.009998,48.330002,48.330002,3229000
2019-01-11,47.830002,47.840000,47.340000,47.650002,47.650002,3356700
2019-01-14,47.020000,47.480000,46.619999,47.150002,47.150002,5555400
2019-01-15,47.639999,48.259998,47.360001,47.529999,47.529999,3460300
2019-01-16,47.310001,47.669998,46.450001,46.790001,46.790001,5661400
2019-01-17,46.250000,48.360001,45.959999,48.049999,48.049999,4721700
2019-01-18,48.580002,49.240002,48.189999,48.669998,48.669998,5425200
2019-01-22,48.060001,48.310001,46.889999,47.080002,47.080002,3904700
2019-01-23,47.450001,47.470001,45.299999,45.880001,45.880001,6933600
2019-01-24,45.740002,46.730000,45.450001,46.250000,46.250000,4632400
2019-01-25,46.700001,47.349998,46.549999,46.889999,46.889999,3089700
2019-01-28,46.009998,46.500000,45.599998,46.450001,46.450001,4711900
2019-01-29,46.840000,47.099998,46.349998,46.459999,46.459999,3702800
2019-01-30,47.009998,47.919998,46.580002,47.830002,47.830002,3436800
2019-01-31,48.090000,48.119999,46.860001,47.330002,47.330002,4477300
2019-02-01,47.669998,48.669998,47.160000,48.450001,48.450001,5201100
2019-02-04,47.959999,49.139999,47.750000,49.130001,49.130001,3384500
2019-02-05,49.500000,49.639999,48.709999,49.080002,49.080002,5301600
2019-02-06,46.810001,47.110001,45.259998,45.450001,45.450001,11893600
2019-02-07,44.980000,45.439999,42.349998,42.599998,42.599998,11224300
2019-02-08,42.549999,42.750000,40.910000,41.840000,41.840000,10272200
2019-02-11,41.410000,42.950001,41.209999,42.560001,42.560001,6942600
2019-02-12,43.290001,43.820000,42.610001,42.799999,42.799999,8679800
2019-02-13,43.029999,44.560001,43.029999,44.040001,44.040001,11197400
2019-02-14,43.700001,44.580002,43.700001,43.799999,43.799999,4647800
2019-02-15,44.459999,45.259998,44.380001,45.230000,45.230000,5391800
2019-02-19,44.910000,45.860001,44.799999,45.450001,45.450001,6535200
2019-02-20,45.400002,45.900002,45.070000,45.160000,45.160000,5968300
2019-02-21,45.009998,45.310001,43.490002,43.840000,43.840000,7141900
2019-02-22,44.430000,44.450001,43.299999,43.689999,43.689999,4987700
2019-02-25,43.459999,44.459999,43.340000,44.279999,44.279999,4142705
